As. Pct,Blk Pct,Box +-,DRB Pct,DWS,Deff. Box +-,FG3A PerFGA%,Fta PerFGA%,GP,MP,ORB Pct,OWS,Off. Box +-,PER,Stl Pct,TO Pct,TRB Pct,TS %,Teams,Usg Pct,VORP,WS,WS Per 48,age,name,position
7.8,0.7,-1.0,17.7,0.3,-1.5,.586,.138,39,518,9.7,0.9,0.5,13.0,0.8,8.0,13.7,.567,Tyler Cavanaugh,14.8,0.1,1.2,.109,23,Tyler Cavanaugh,PF
21.5,0.9,-2.7,12.0,1.3,-0.5,.431,.312,66,1421,1.0,-0.6,-2.2,10.4,2.8,18.8,6.4,.503,Mario Chalmers,19.6,-0.3,0.6,.021,31,Mario Chalmers,PG
6.6,1.9,-0.3,26.8,0.8,1.0,.000,.497,46,1151,12.2,1.9,-1.3,14.2,0.7,20.6,19.4,.658,Tyson Chandler,10.6,0.5,2.7,.111,35,Tyson Chandler,C
9.4,1.4,-0.9,14.1,1.2,-0.4,.390,.181,74,2346,4.9,2.1,-0.5,10.9,0.9,11.9,9.6,.542,Wilson Chandler,14.3,0.6,3.3,.067,30,Wilson Chandler,SF
8.1,3.7,-2.0,22.7,1.5,1.3,.398,.331,72,1527,5.2,-0.8,-3.3,11.1,1.6,16.4,13.8,.509,Marquese Chriss,18.1,0.0,0.7,.023,20,Marquese Chriss,PF
10.4,0.5,-3.9,8.4,0.8,-2.0,.394,.119,74,1455,0.8,0.3,-2.0,9.4,1.1,9.9,4.7,.529,Ian Clark,17.2,-0.7,1.1,.037,26,Ian Clark,SG
19.3,0.3,-1.9,9.1,1.2,-2.7,.333,.199,81,1888,3.3,1.9,0.8,16.4,1.5,10.9,6.2,.542,Jordan Clarkson,26.5,0.1,3.0,.077,25,Jordan Clarkson,SG
22.9,0.2,-1.3,9.7,1.0,-2.3,.315,.198,53,1256,3.8,1.1,1.0,16.9,1.5,11.6,6.7,.532,Jordan Clarkson,27.7,0.2,2.1,.080,25,Jordan Clarkson,SG
12.0,0.4,-3.1,7.9,0.2,-3.5,.376,.202,28,632,2.3,0.8,0.4,15.4,1.5,9.3,5.1,.565,Jordan Clarkson,24.1,-0.2,1.0,.073,25,Jordan Clarkson,SG
6.7,0.0,-3.6,10.8,0.0,-1.9,.833,.111,7,64,1.7,0.0,-1.7,7.4,1.6,9.6,6.1,.530,Gian Clavell,14.8,0.0,0.1,.042,24,Gian Clavell,SG
2.2,3.6,-4.5,10.2,0.2,2.2,.190,.286,17,123,2.7,-0.2,-6.7,4.5,2.8,22.8,6.3,.486,Antonius Cleveland,11.1,-0.1,0.0,-0.006,23,Antonius Cleveland,SG
3.3,4.4,-3.1,11.4,0.1,4.5,.071,.286,13,81,2.6,-0.1,-7.6,5.1,3.7,11.3,6.9,.317,Antonius Cleveland,10.0,0.0,0.0,-0.005,23,Antonius Cleveland,SG
0.0,2.0,-7.0,8.0,0.0,-2.0,.429,.286,4,42,2.7,0.0,-5.0,3.5,1.2,38.8,5.3,.825,Antonius Cleveland,13.4,-0.1,0.0,-0.009,23,Antonius Cleveland,SG
,,,,,,,,,,,,,,,,,,,,,,,,,
8.9,3.8,1.7,22.8,2.0,1.9,.086,.341,74,1785,11.0,3.4,-0.2,18.3,1.3,14.3,16.9,.620,John Collins,17.9,1.7,5.4,.145,20,John Collins,PF
