APG,BPG,DRB PG,EFG %,FG %,FG PG,FG2 %,FG2 PG,FG2A PG,FG3 %,FG3 PG,FG3A PG,FGA PG,FT %,FT PG,FTA PG,Fouls PG,GP,GS,MPG,ORB PG,PPG,SPG,TO PG,TRB PG,Teams,age,name,position
2.7,0.8,4.2,.549,.527,3.1,.556,2.9,5.1,.333,0.3,0.8,5.9,.712,1.4,2.0,1.5,74,67,26.7,1.1,7.9,1.6,1.3,5.4,Kyle Anderson,24,Kyle Anderson,SF
0.9,0.3,3.6,.568,.431,3.1,.539,1.2,2.1,.386,2.0,5.1,7.3,.774,1.1,1.4,1.9,66,50,26.1,1.4,9.3,0.4,0.6,5.0,Ryan Anderson,29,Ryan Anderson,PF
0.0,0.3,0.4,.444,.444,0.4,.444,0.4,0.8,,0.0,0.0,0.8,.833,0.5,0.5,0.1,11,0,2.7,0.5,1.2,0.1,0.2,0.8,Ike Anigbogu,19,Ike Anigbogu,C
4.8,1.4,8.0,.545,.529,9.9,.554,9.3,16.8,.307,0.6,1.9,18.7,.760,6.5,8.5,3.1,75,75,36.7,2.1,26.9,1.5,3.0,10.0,Giannis Antetokounmpo,23,Giannis Antetokounmpo,PF
1.3,0.6,4.9,.476,.404,6.1,.437,3.9,8.9,.357,2.2,6.1,15.0,.767,1.9,2.5,2.5,78,78,32.1,0.9,16.2,0.6,1.3,5.8,Carmelo Anthony,33,Carmelo Anthony,PF
0.7,0.2,1.9,.577,.471,2.2,.604,1.2,2.0,.371,1.0,2.7,4.7,.629,0.5,0.8,1.8,74,62,20.0,0.6,5.9,0.7,0.6,2.5,OG Anunoby,20,OG Anunoby,SF
1.5,0.0,1.0,.524,.415,0.7,.800,0.3,0.4,.290,0.4,1.3,1.7,.833,0.2,0.3,0.8,24,0,12.7,0.0,2.0,0.5,0.5,1.0,Ryan Arcidiacono,23,Ryan Arcidiacono,PG
1.6,0.2,3.9,.542,.412,4.0,.519,1.5,2.8,.368,2.5,6.9,9.7,.854,1.1,1.3,2.0,67,67,33.9,0.5,11.7,1.5,0.8,4.4,Trevor Ariza,32,Trevor Ariza,SF
0.5,0.2,0.6,.553,.468,1.2,.583,0.7,1.3,.348,0.4,1.2,2.5,.667,0.1,0.2,1.2,19,1,7.4,0.2,2.8,0.4,0.8,0.8,Darrell Arthur,29,Darrell Arthur,PF
1.2,0.2,2.3,.443,.392,2.1,.460,1.5,3.3,.276,0.5,1.9,5.3,.583,0.5,0.8,0.7,15,1,18.6,0.3,5.1,0.1,0.5,2.5,Jamel Artis,25,Jamel Artis,SG
0.2,0.2,2.1,.409,.409,0.5,.409,0.5,1.2,,0.0,0.0,1.2,.308,0.2,0.7,1.1,18,0,10.1,0.5,1.2,0.1,0.5,2.6,Ömer Aşık,31,Ömer Aşık,C
3.8,0.0,1.7,.557,.452,3.3,.485,1.7,3.6,.419,1.5,3.6,7.2,.868,2.2,2.5,1.3,75,36,23.5,0.4,10.2,0.7,1.6,2.1,D.J. Augustin,30,D.J. Augustin,PG
0.6,0.1,1.8,.563,.423,1.8,.525,0.6,1.2,.385,1.2,3.1,4.3,.773,0.3,0.4,1.1,50,14,14.3,0.1,5.2,0.2,0.4,1.9,Luke Babbitt,28,Luke Babbitt,SF
0.7,0.0,2.3,.404,.375,1.4,.409,1.2,2.8,.256,0.2,0.8,3.6,.800,0.4,0.5,0.9,53,6,13.5,0.1,3.3,0.3,0.4,2.3,Dwayne Bacon,22,Dwayne Bacon,SG
1.6,0.2,0.9,.432,.339,0.7,.346,0.3,0.9,.333,0.4,1.1,2.0,.769,0.7,0.9,1.1,29,1,13.3,0.2,2.4,0.9,0.6,1.0,Ron Baker,24,Ron Baker,SG
