APerM,BPerM,DRB PerM,FG %,FG PerM,FG2 PerM,FG2A PerM,FG3 %,FG3 PerM,FG3A PerM,FGA PerM,FTPerM,Fouls PerM,GP,GS,MPG,ORB PerM,PPerM,SPerM,TO PerM,TRB PerM,Teams,age,name,position
0.0,0.0,9.0,.000,0.0,.000,9.0,,0.0,0.0,9.0,0.0,0.0,1,0,4,0.0,0.0,0.0,0.0,9.0,Isaiah Canaan,26,Isaiah Canaan,SG
6.5,0.1,3.3,.382,4.5,.429,6.0,.333,1.9,5.7,11.7,4.0,3.1,19,1,418,0.5,14.8,1.4,2.5,3.8,Isaiah Canaan,26,Isaiah Canaan,PG
1.2,2.4,9.9,.652,7.8,.653,11.9,.000,0.0,0.0,12.0,2.5,3.3,74,74,2034,4.3,18.2,1.0,1.8,14.2,Clint Capela,23,Clint Capela,C
2.4,0.5,6.2,.414,5.4,.457,6.5,.371,2.4,6.5,13.0,3.1,2.7,73,73,2180,1.7,16.2,1.0,1.7,7.9,DeMarre Carroll,31,DeMarre Carroll,PF
2.4,0.9,4.6,.403,4.0,.483,4.1,.345,2.0,5.8,9.9,1.0,3.4,58,5,1026,0.6,11.0,1.5,1.3,5.2,Vince Carter,41,Vince Carter,SF
5.0,1.0,4.4,.332,3.3,.365,7.3,.237,0.6,2.5,9.9,3.1,4.3,52,2,835,1.6,10.3,1.9,2.2,5.9,Michael Carter-Williams,26,Michael Carter-Williams,PG
4.8,0.6,3.2,.431,3.2,.507,4.7,.302,0.8,2.8,7.4,1.3,3.3,37,7,562,1.0,8.6,1.5,2.7,4.2,Alex Caruso,23,Alex Caruso,PG
2.5,0.9,8.3,.580,5.8,.595,9.0,.455,0.5,1.1,10.1,2.4,3.5,53,7,740,1.5,14.6,0.9,1.8,9.7,Omri Casspi,29,Omri Casspi,SF
3.0,1.2,6.7,.502,6.8,.506,13.4,.250,0.1,0.2,13.6,2.7,3.3,73,58,2044,2.3,16.4,1.4,1.9,9.0,Willie Cauley-Stein,24,Willie Cauley-Stein,C
1.9,0.3,5.7,.441,4.7,.556,4.4,.360,2.2,6.2,10.6,1.2,4.2,39,1,518,3.1,12.7,0.6,1.0,8.8,Tyler Cavanaugh,23,Tyler Cavanaugh,PF
5.0,0.4,3.6,.379,4.3,.456,6.4,.277,1.3,4.8,11.2,3.0,4.5,66,10,1421,0.3,12.8,2.0,3.0,4.0,Mario Chalmers,31,Mario Chalmers,PG
1.7,0.8,8.9,.647,3.8,.647,5.8,,0.0,0.0,5.8,1.8,3.3,46,46,1151,4.2,9.4,0.5,1.8,13.1,Tyson Chandler,35,Tyson Chandler,C
2.4,0.6,4.5,.445,4.3,.501,5.9,.358,1.4,3.8,9.7,1.4,2.4,74,71,2346,1.6,11.3,0.7,1.4,6.1,Wilson Chandler,30,Wilson Chandler,SF
2.0,1.7,7.5,.423,4.8,.509,6.8,.295,1.3,4.5,11.2,2.3,4.8,72,49,1527,1.8,13.1,1.2,2.5,9.3,Marquese Chriss,20,Marquese Chriss,PF
2.7,0.2,2.9,.448,5.5,.533,7.4,.318,1.5,4.8,12.2,1.1,3.0,74,2,1455,0.2,13.6,0.8,1.4,3.1,Ian Clark,26,Ian Clark,SG
4.2,0.1,3.1,.451,8.2,.500,12.1,.352,2.1,6.1,18.2,2.9,2.0,81,2,1888,1.1,21.4,1.1,2.4,4.1,Jordan Clarkson,25,Jordan Clarkson,SG
5.0,0.1,3.3,.448,8.6,.505,13.1,.324,1.9,6.0,19.1,3.0,1.8,53,2,1256,1.3,22.1,1.1,2.7,4.6,Jordan Clarkson,25,Jordan Clarkson,SG
2.7,0.2,2.6,.456,7.5,.486,10.2,.407,2.5,6.2,16.3,2.7,2.5,28,0,632,0.7,20.1,1.1,1.8,3.3,Jordan Clarkson,25,Jordan Clarkson,SG
1.7,0.0,3.4,.333,3.4,.000,1.7,.400,3.4,8.4,10.1,1.1,4.5,7,0,64,0.6,11.3,1.1,1.1,3.9,Gian Clavell,24,Gian Clavell,SG
0.6,1.5,3.2,.381,2.3,.294,5.0,.750,0.9,1.2,6.1,1.2,6.7,17,0,123,0.9,6.7,2.0,2.0,4.1,Antonius Cleveland,23,Antonius Cleveland,SG
