APct,BPct,Box +-,DRB PCT,DWS,"Deff, Box +-",FG3A PerFGA,FTA PerFGA,GP,MP,ORB PCT,OWS,Off. Box +-,PER,SPct,TO Pct,TRB PCT,TS %,Teams,USG %,VORP,WS,WSPer48,age,name,position
8.2,1.7,1.2,16.0,1.5,-0.4,.746,.132,76,1632,1.6,2.6,1.6,13.0,1.0,8.2,8.8,.632,Dāvis Bertāns,14.1,1.3,4.0,.118,26,Dāvis Bertāns,PF
18.4,1.6,2.3,15.0,2.0,1.2,.591,.258,78,2137,3.9,2.8,1.2,11.8,1.5,13.8,9.6,.561,Patrick Beverley,12.2,2.3,4.8,.108,30,Patrick Beverley,PG
8.5,3.8,2.4,18.8,1.0,2.3,.007,.550,50,643,13.0,1.8,0.2,19.2,1.4,9.6,15.8,.640,Khem Birch,14.1,0.7,2.8,.212,26,Khem Birch,C
5.9,4.6,-1.1,23.3,0.8,1.5,.000,.583,54,783,11.0,1.2,-2.5,14.4,0.7,14.8,17.0,.602,Bismack Biyombo,12.7,0.2,2.0,.125,26,Bismack Biyombo,C
11.1,2.7,2.0,18.8,1.9,1.2,.433,.155,77,1788,7.0,2.7,0.8,15.4,1.4,11.5,12.8,.585,Nemanja Bjelica,16.5,1.8,4.5,.122,30,Nemanja Bjelica,PF
8.2,0.9,-8.4,13.1,0.3,-3.7,.230,.192,57,829,0.9,-0.8,-4.7,10.6,0.7,7.5,6.9,.487,Antonio Blakeney,24.5,-1.3,-0.5,-0.030,22,Antonio Blakeney,SG
27.4,1.1,3.5,11.8,3.7,1.0,.388,.243,78,2272,3.9,4.4,2.5,19.3,2.4,13.3,8.1,.577,Eric Bledsoe,22.9,3.2,8.2,.173,29,Eric Bledsoe,PG
4.2,1.6,-4.5,19.1,0.1,-1.5,.368,.123,27,439,6.3,0.2,-3.1,10.2,0.8,9.0,12.4,.510,Jaron Blossomgame,12.2,-0.3,0.3,.030,25,Jaron Blossomgame,SF
19.3,0.7,-0.7,11.0,1.4,-1.2,.431,.188,70,1947,2.1,1.3,0.5,14.1,1.7,11.1,6.4,.530,Bogdan Bogdanović,22.3,0.6,2.7,.067,26,Bogdan Bogdanović,SG
9.5,0.0,0.0,12.7,2.8,-1.4,.367,.290,81,2573,1.5,3.9,1.4,16.1,1.3,10.2,7.2,.613,Bojan Bogdanović,22.4,1.3,6.8,.126,29,Bojan Bogdanović,SF
