Bird Rights,Remaining,Teams,Year1,Year2,Year3,Year4,Year5,Year6,name
Cap Space,"$7,945,000",Cory Joseph,"$7,945,000",,,,,,Cory Joseph
Bird Rights,"$12,633,667",JaMychal Green,"$7,866,667",,,,,,JaMychal Green
1st round pick,"$163,709,435",Karl-Anthony Towns,"$7,839,435","$27,250,000","$29,430,000","$31,610,000","$33,790,000","$35,970,000",Karl-Anthony Towns
Bird Rights,"$7,560,000",Kyle Korver,"$7,560,000","$3,440,000",,,,,Kyle Korver
Rookie scale extension,"$7,488,372",Jeremy Lamb,"$7,488,372",,,,,,Jeremy Lamb
,"$7,464,912",Darrell Arthur,"$7,464,912",,,,,,Darrell Arthur
1st Round Pick,"$7,461,960",Lonzo Ball,"$7,461,960","$8,719,320","$11,003,782",,,,Lonzo Ball
,"$22,000,001",Doug McDermott,"$7,333,334","$7,333,334","$7,333,333",,,,Doug McDermott
Bird Rights,"$7,305,825",Jae Crowder,"$7,305,825","$7,815,533",,,,,Jae Crowder
1st Round Pick,"$15,861,720",Marvin Bagley,"$7,305,600","$8,556,120","$8,963,640","$11,312,114",,,Marvin Bagley
Cap Space,"$14,500,000",D.J. Augustin,"$7,250,000","$7,250,000",,,,,D.J. Augustin
Cap space,"$7,200,000",Dewayne Dedmon,"$7,200,000",,,,,,Dewayne Dedmon
Cap Space,"$7,119,650",Lance Thomas,"$7,119,650",,,,,,Lance Thomas
1st round pick,"$7,019,698",D'Angelo Russell,"$7,019,698",,,,,,D'Angelo Russell
MLE,"$14,333,333",Langston Galloway,"$7,000,000","$7,333,333",,,,,Langston Galloway
MLE,"$14,000,000",Ersan İlyasova,"$7,000,000","$7,000,000","$7,000,000",,,,Ersan İlyasova
Early Bird Rights,"$7,000,000",Dāvis Bertāns,"$7,000,000","$7,000,000",,,,,Dāvis Bertāns
Cap Space,"$7,000,000",Boban Marjanović,"$7,000,000",,,,,,Boban Marjanović
Cap Space,"$6,957,105",Al-Farouq Aminu,"$6,957,105",,,,,,Al-Farouq Aminu
1st Round Pick,"$14,530,800",Jayson Tatum,"$6,700,800","$7,830,000","$9,897,120",,,,Jayson Tatum
,,,,,,,,,
,,,,,,,,,
1st Round Pick,"$14,244,000",Luka Dončić,"$6,560,640","$7,683,360","$8,049,360","$10,174,391",,,Luka Dončić
,"$13,325,000",Nemanja Bjelica,"$6,500,000","$6,825,000","$7,150,000",,,,Nemanja Bjelica
MLE,"$6,500,000",Mario Hezonja,"$6,500,000",,,,,,Mario Hezonja
1st Round pick,"$184,198,450",Ben Simmons,"$6,434,520","$8,113,930","$29,250,000","$31,590,000","$33,930,000","$36,270,000",Ben Simmons
