name,position,age,Teams,GP,GS,MP,FG PP,FGA PP,FG %,FG3 PP,FG3A PP,FG3 %,FG2 PP,FG2A PP,FG2 %,FT PP,FTA PP,FT %,ORB PP,DRB PP,TRB PP,APP,SPP,BPP,TO PP,Fouls PP,PPP,Off. Ra
Kelvin Cato,C,28,Kelvin Cato,73,5,1247,5.8,11.1,.520,0.0,0.2,.000,5.8,10.9,.528,2.9,5.4,.532,5.7,12.8,18.6,0.9,1.6,3.7,2.4,7.6,14.4,107
Tyson Chandler,C,20,Tyson Chandler,75,68,1827,7.2,13.6,.531,0.0,0.0,,7.2,13.6,.531,5.0,8.2,.608,4.7,9.7,14.4,2.1,1.0,3.0,3.8,6.2,19.4,104
Calbert Cheaney,SG,31,Calbert Cheaney,81,74,2351,7.4,14.9,.499,0.2,0.6,.400,7.2,14.3,.503,0.9,1.6,.580,1.7,4.8,6.5,3.7,1.5,0.3,2.5,5.1,16.0,100
Chris Childs,PG,35,Chris Childs,12,0,106,3.0,9.9,.300,0.5,3.0,.167,2.5,6.9,.357,1.0,1.5,.667,1.5,1.0,2.5,7.9,4.0,0.5,3.0,8.4,7.4,84
Doug Christie,SG,32,Doug Christie,80,80,2710,5.0,10.3,.479,1.4,3.4,.395,3.6,6.9,.522,2.6,3.2,.810,1.1,5.2,6.4,7.0,3.3,0.7,2.7,3.5,13.9,113
Keon Clark,C,27,Keon Clark,80,11,1780,6.4,12.8,.501,0.0,0.1,.000,6.4,12.6,.506,2.4,3.6,.656,3.9,8.9,12.8,2.3,1.1,4.2,2.7,6.4,15.2,103
Speedy Claxton,PG,24,Speedy Claxton,30,0,471,7.6,16.4,.462,0.0,1.2,.000,7.6,15.2,.500,4.4,6.5,.684,2.5,3.8,6.3,8.5,2.5,0.8,4.0,4.9,19.6,105
Mateen Cleaves,PG,25,Mateen Cleaves,12,0,55,5.5,21.0,.261,0.9,0.9,1.000,4.6,20.1,.227,2.7,3.7,.750,0.9,6.4,7.3,9.2,1.8,0.0,12.8,5.5,14.6,55
Derrick Coleman,C,35,Derrick Coleman,64,35,1742,6.7,15.0,.448,0.7,2.0,.328,6.1,13.0,.466,4.0,5.2,.784,4.6,9.0,13.6,2.6,1.6,2.1,2.9,5.2,18.1,106
Bimbo Coles,PG,34,Bimbo Coles,35,11,691,4.2,12.5,.333,0.5,2.4,.219,3.7,10.1,.360,2.6,3.1,.833,0.8,3.6,4.4,5.4,1.3,0.3,2.1,4.5,11.5,92
Bimbo Coles,PG,34,Bimbo Coles,21,11,516,3.4,11.8,.286,0.7,2.5,.280,2.7,9.3,.287,2.7,3.4,.794,1.0,3.8,4.8,5.5,1.1,0.4,1.8,4.3,10.1,91
Bimbo Coles,PG,34,Bimbo Coles,14,0,175,6.6,14.8,.449,0.0,2.1,.000,6.6,12.7,.524,2.4,2.4,1.000,0.3,3.0,3.3,4.8,1.8,0.0,3.0,5.1,15.7,95
Jason Collier,C,25,Jason Collier,13,3,104,8.8,18.7,.472,0.0,0.0,,8.8,18.7,.472,1.0,1.0,1.000,6.2,8.8,15.1,0.5,1.0,0.5,1.0,5.2,18.7,110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarron Collins,C,24,Jarron Collins,22,7,421,4.9,11.0,.442,0.0,0.1,.000,4.9,10.9,.447,5.6,7.9,.710,4.1,3.6,7.7,1.8,0.6,0.8,2.4,8.9,15.3,108
Jason Collins,C,24,Jason Collins,81,66,1900,3.9,9.3,.414,0.0,0.1,.000,3.9,9.2,.419,5.0,6.5,.763,3.8,6.4,10.2,2.4,1.3,1.2,2.3,7.0,12.7,107
Chris Crawford,PF,27,Chris Crawford,5,0,38,11.1,18.1,.615,1.4,4.2,.333,9.7,13.9,.700,9.7,11.1,.875,4.2,5.6,9.7,1.4,2.8,4.2,2.8,9.7,33.3,136
Jamal Crawford,PG,22,Jamal Crawford,80,31,1992,8.6,20.8,.413,2.2,6.2,.355,6.4,14.6,.438,2.7,3.3,.806,0.5,4.2,4.8,8.6,2.0,0.6,3.5,3.2,22.1,101
Austin Croshere,PF,27,Austin Croshere,49,0,633,7.1,17.3,.411,2.2,5.7,.391,4.9,11.6,.421,4.4,5.4,.815,3.3,9.5,12.8,4.6,0.5,1.1,2.3,4.0,20.9,111
John Crotty,PG,33,John Crotty,12,0,180,4.1,12.0,.341,1.2,3.8,.308,2.9,8.2,.357,2.6,4.4,.600,0.3,4.1,4.4,8.5,0.9,0.0,2.6,4.7,12.0,95
Eddy Curry,C,20,Eddy Curry,81,48,1571,10.9,18.7,.585,0.0,0.0,,10.9,18.7,.585,5.8,9.4,.624,3.8,7.7,11.5,1.2,0.6,2.0,4.5,7.4,27.7,106
Michael Curry,SF,34,Michael Curry,78,77,1555,3.3,8.1,.402,0.6,1.9,.296,2.7,6.2,.434,1.3,1.6,.800,0.6,3.9,4.5,3.7,1.6,0.1,1.5,5.8,8.4,98
Erick Dampier,C,27,Erick Dampier,82,82,1978,6.7,13.4,.496,0.0,0.1,.000,6.7,13.4,.498,4.0,5.7,.698,6.4,7.6,14.0,1.5,0.7,4.0,2.9,6.2,17.3,111
Antonio Daniels,SG,27,Antonio Daniels,67,2,872,5.2,11.5,.452,1.1,3.6,.305,4.1,7.8,.520,4.0,4.7,.855,0.7,3.8,4.4,5.2,2.0,0.6,2.0,2.6,15.5,117
