Player,Team,Season,Season Type,Games,Less than 8ft. %,8-16 feet %,16-24 feet %,24+ feet %,Back Court Shots %,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots Usage %,Avg. Shot Dis.,Avg Made Shot Dis,Avg Missed Shot Dis
Player,Team,Season,Season Type,Games,Less than 8ft. %,8-16 feet %,16-24 feet %,24+ feet %,Back Court Shots %,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.)
Archie Goodwin,Suns,2014-2015,REG,41,0.480,0.154,0.227,0.308,0.000,62.19,6.47,10.95,19.40,1.00,9.21,6.14,11.20
Ben McLemore,Kings,2014-2015,REG,82,0.560,0.444,0.411,0.366,0.000,31.93,6.71,13.91,46.83,0.62,15.71,13.31,17.57
CJ McCollum,Trail Blazers,2014-2015,REG,62,0.519,0.446,0.371,0.396,0.000,29.59,15.34,16.99,38.08,0.00,14.81,13.38,15.90
Cody Zeller,Hornets,2014-2015,REG,62,0.535,0.389,0.353,1.000,0.000,57.64,4.83,37.27,0.27,0.00,8.36,6.45,9.99
Dennis Schroder,Hawks,2014-2015,REG,77,0.490,0.359,0.381,0.354,0.000,50.38,9.62,17.74,22.11,0.15,10.86,9.18,12.11
Dewayne Dedmon,Magic,2014-2015,REG,59,0.586,0.300,0.250,0.000,0.000,90.63,6.25,2.50,0.00,0.63,2.79,1.46,4.45
Erick Green,Nuggets,2014-2015,REG,43,0.538,0.379,0.356,0.313,0.000,16.05,17.90,36.42,29.63,0.00,16.67,14.93,17.71
Gorgui Dieng,Timberwolves,2014-2015,REG,73,0.537,0.547,0.319,0.333,0.000,60.35,25.00,13.48,0.59,0.59,7.18,5.94,8.45
Isaiah Canaan,"Rockets, 76ers",2014-2015,REG,47,0.451,0.286,0.370,0.371,0.000,24.07,3.70,7.14,64.81,0.26,18.57,17.64,19.15
Jamaal Franklin,Nuggets,2014-2015,REG,3,0.000,0.000,0.000,0.500,0.000,0.00,0.00,0.00,100.00,0.00,26.00,26.00,26.00
Jeff Withey,Pelicans,2014-2015,REG,37,0.491,0.500,0.667,0.000,0.000,82.81,12.50,4.69,0.00,0.00,3.83,3.66,4.00
Kelly Olynyk,Celtics,2014-2015,REG,64,0.604,0.442,0.339,0.351,0.000,46.40,9.85,10.61,32.95,0.19,12.17,9.26,14.80
Kentavious Caldwell-Pope,Pistons,2014-2015,REG,82,0.505,0.423,0.343,0.349,0.000,30.56,9.98,13.79,45.06,0.62,15.77,13.59,17.23
