Player,Team,Season,Season Type,Games,AbvBrk3_Usage,MR_Usage,Paint_Usage,RA_Usage,RC3_Usage,LC3_Usage,BC_Usage,AbvBrk3%,MR%,Paint%,RA%,RC3%,LC3%,BC3%
Player,Team,Season,Season Type,Games,Above the Break 3-Usage,Mid-Range-Usage,In The Paint (Non-RA)-Usage,Restricted Area-Usage,Right Corner 3-Usage,Left Corner 3-Usage,Backcourt-Usage,Above the Break 3 %,Mid-Range %,In The Paint (Non-RA) %,Restricted Area %,Right Corner 3 %,Left Corner 3 %,Backcourt %
Rakeem Christmas,Pacers,2016-2017,REG,28,0.00,11.63,11.63,76.74,0.00,0.00,0.00,0.000,0.000,0.600,0.485,0.000,0.000,0.000
Rondae Hollis-Jefferson,Nets,2016-2017,REG,78,7.75,19.56,14.21,53.87,2.21,2.21,0.18,0.238,0.340,0.286,0.555,0.333,0.083,0.000
Terry Rozier,Celtics,2016-2017,REG,74,33.50,17.60,10.02,29.10,3.42,5.87,0.49,0.328,0.389,0.268,0.462,0.214,0.333,0.000
Norman Powell,Raptors,2016-2017,REG,76,18.02,11.29,8.12,46.53,6.14,9.90,0.00,0.308,0.368,0.268,0.591,0.323,0.360,0.000
Chasson Randle,"76ers, Knicks",2016-2017,REG,26,41.84,4.08,12.24,35.71,2.04,4.08,0.00,0.341,0.000,0.500,0.514,0.000,0.500,0.000
Jarell Martin,Grizzlies,2016-2017,REG,42,5.96,21.85,7.28,54.30,5.30,4.64,0.66,0.222,0.394,0.182,0.415,0.625,0.286,0.000
Quinn Cook,"Mavericks, Pelicans",2016-2017,REG,14,33.33,27.27,15.15,18.18,3.03,3.03,0.00,0.455,0.444,0.800,0.500,0.500,0.000,0.000
Chris McCullough,"Nets, Wizards",2016-2017,REG,16,12.50,25.00,3.13,50.00,3.13,6.25,0.00,0.250,0.625,1.000,0.563,0.000,0.000,0.000
Pat Connaughton,Trail Blazers,2016-2017,REG,39,37.50,9.72,6.94,37.50,4.17,4.17,0.00,0.519,0.143,0.200,0.667,0.667,0.333,0.000
Willy Hernangomez,Knicks,2016-2017,REG,72,1.94,13.98,16.56,66.24,0.43,0.86,0.00,0.333,0.323,0.481,0.597,0.000,0.250,0.000
