Player,Team,Season,Season Type,Games,AbvBrk3_Usage,MR_Usage,Paint_Usage,RA_Usage,RC3_Usage,LC3_Usage,BC_Usage,AbvBrk3%,MR%,Paint%,RA%,RC3%,LC3%,BC3%
Player,Team,Season,Season Type,Games,Above the Break 3-Usage,Mid-Range-Usage,In The Paint (Non-RA)-Usage,Restricted Area-Usage,Right Corner 3-Usage,Left Corner 3-Usage,Backcourt-Usage,Above the Break 3 %,Mid-Range %,In The Paint (Non-RA) %,Restricted Area %,Right Corner 3 %,Left Corner 3 %,Backcourt %
Armen Gilliam,Bucks,1997-1998,REG,82,0.59,32.25,36.54,30.62,0.00,0.00,0.00,0.000,0.390,0.445,0.638,0.000,0.000,0.000
Lindsey Hunter,Pistons,1997-1998,REG,71,25.67,39.35,8.96,20.10,3.03,2.78,0.12,0.335,0.360,0.365,0.530,0.280,0.261,0.000
Scott Williams,76ers,1997-1998,REG,58,0.00,45.54,11.74,40.38,0.00,0.47,1.88,0.000,0.351,0.440,0.558,0.000,0.000,0.000
Felton Spencer,Warriors,1997-1998,REG,68,0.00,13.95,27.91,58.14,0.00,0.00,0.00,0.000,0.444,0.306,0.533,0.000,0.000,0.000
Charles Jones,Rockets,1997-1998,REG,24,0.00,10.00,10.00,80.00,0.00,0.00,0.00,0.000,0.000,0.000,0.875,0.000,0.000,0.000
Stacey Augmon,Trail Blazers,1997-1998,REG,71,1.08,23.12,26.08,48.92,0.00,0.00,0.81,0.250,0.314,0.278,0.544,0.000,0.000,0.000
Duane Ferrell,Warriors,1997-1998,REG,49,4.50,52.25,9.91,32.43,0.00,0.90,0.00,0.000,0.310,0.273,0.556,0.000,0.000,0.000
Allan Houston,Knicks,1997-1998,REG,82,13.48,52.82,9.95,20.45,0.94,2.19,0.16,0.378,0.438,0.394,0.552,0.333,0.464,0.000
Johnny Newman,Nuggets,1997-1998,REG,74,10.26,42.93,8.01,35.79,2.00,0.88,0.13,0.305,0.356,0.203,0.605,0.438,0.571,0.000
Horace Grant,Magic,1997-1998,REG,76,0.82,66.63,6.53,26.02,0.00,0.00,0.00,0.000,0.405,0.268,0.659,0.000,0.000,0.000
