name,position,age,Teams,GP,MP,PER,TS %,FG3A PerFGA%,Fta PerFGA%,VORP,Usg Pct,OWS,DWS,WS,WS Per 48,Off. Box +-,Deff. Box +-,Box +-,ORB Pct,DRB Pct,TRB Pct,As. Pct,Stl Pct,Blk Pct,TO Pct
Mario Chalmers,PG,25,Mario Chalmers,64,1825,13.0,.578,.522,.203,1.5,17.4,1.5,2.8,4.3,.112,1.0,0.4,1.4,1.1,9.8,5.6,19.0,2.8,0.5,20.7
Tyson Chandler,C,29,Tyson Chandler,62,2061,18.7,.708,.006,.887,3.2,13.0,5.8,3.6,9.5,.220,1.4,2.8,4.1,11.8,22.7,17.2,4.3,1.4,3.4,17.1
Wilson Chandler,SF,24,Wilson Chandler,8,215,9.0,.445,.152,.152,-0.1,21.2,-0.3,0.2,-0.1,-0.021,-4.5,0.5,-4.0,3.4,18.4,11.1,12.0,1.4,2.2,17.6
Josh Childress,SF,28,Josh Childress,34,491,11.1,.501,.242,.020,0.4,10.1,0.6,0.4,0.9,.092,-0.3,1.4,1.1,7.2,14.6,10.9,10.0,1.5,0.9,8.3
Earl Clark,PF,24,Earl Clark,45,559,8.1,.405,.000,.209,-0.3,14.8,-0.5,0.8,0.3,.027,-6.2,2.4,-3.8,7.1,18.6,12.8,5.2,1.2,4.5,14.1
Norris Cole,PG,23,Norris Cole,65,1260,7.9,.452,.169,.189,-1.2,21.8,-1.4,1.4,0.0,.000,-4.1,-1.8,-5.9,2.1,6.4,4.3,17.0,1.8,0.1,17.7
Jason Collins,C,33,Jason Collins,30,308,3.7,.418,.000,.375,-0.2,8.6,-0.2,0.3,0.2,.025,-5.6,0.5,-5.1,4.6,13.6,9.1,4.6,0.7,0.7,17.7
Darren Collison,PG,24,Darren Collison,60,1878,13.6,.526,.180,.293,0.8,17.0,2.3,1.5,3.8,.098,0.5,-0.8,-0.3,1.8,9.3,5.6,24.9,1.4,0.6,16.2
Nick Collison,PF,31,Nick Collison,63,1307,12.1,.622,.005,.308,1.4,10.0,2.3,1.2,3.5,.130,0.9,1.3,2.2,11.1,12.7,12.0,9.3,1.3,1.6,21.1
Mike Conley,PG,24,Mike Conley,62,2174,16.8,.523,.232,.231,2.1,18.3,3.6,2.8,6.4,.141,1.8,0.1,1.9,1.2,7.4,4.2,29.8,3.3,0.4,14.2
Brian Cook,PF,31,Brian Cook,32,276,5.8,.396,.510,.102,-0.3,18.7,-0.3,0.3,-0.1,-0.011,-4.8,-2.1,-6.9,4.1,22.3,13.1,5.7,1.1,1.5,9.7
Brian Cook,PF,31,Brian Cook,16,121,0.0,.305,.551,.082,-0.3,20.9,-0.4,0.1,-0.2,-0.098,-7.7,-2.8,-10.5,3.9,18.9,11.3,2.5,0.9,2.8,7.3
Brian Cook,PF,31,Brian Cook,16,155,10.4,.484,.469,.122,-0.1,16.9,0.0,0.2,0.2,.058,-2.5,-1.6,-4.0,4.3,25.0,14.6,8.2,1.3,0.5,11.9
Daequan Cook,SG,24,Daequan Cook,57,989,9.2,.509,.770,.074,-0.1,14.7,0.8,0.8,1.6,.078,-0.2,-2.4,-2.6,1.5,11.9,7.0,2.3,1.1,0.8,5.0
DeMarcus Cousins,C,21,DeMarcus Cousins,64,1950,21.7,.499,.014,.373,0.8,29.7,2.1,2.2,4.2,.104,-0.4,0.0,-0.3,14.2,25.9,19.8,9.5,2.4,2.8,12.8
Jamal Crawford,PG,31,Jamal Crawford,60,1613,15.7,.506,.353,.280,0.1,26.6,1.6,0.7,2.3,.069,0.9,-2.6,-1.7,1.1,7.5,4.3,20.5,1.8,0.7,11.8
Jordan Crawford,SG,23,Jordan Crawford,64,1753,14.5,.488,.313,.233,-0.2,28.1,0.3,0.7,1.1,.029,0.7,-3.0,-2.3,2.8,8.1,5.4,19.3,1.7,0.2,12.8
Dante Cunningham,PF,24,Dante Cunningham,64,1124,14.9,.538,.007,.247,0.8,13.6,1.8,1.7,3.4,.147,-0.8,1.6,0.8,9.3,16.4,12.8,5.2,2.0,2.5,8.6
,,,,,,,,,,,,,,,,,,,,,,,,,
Eddy Curry,C,29,Eddy Curry,14,83,3.6,.508,.000,.308,-0.2,22.1,-0.2,0.1,-0.1,-0.046,-8.2,-3.1,-11.3,6.0,11.1,8.6,1.9,0.0,2.0,25.3
Stephen Curry,PG,23,Stephen Curry,26,732,21.2,.605,.409,.159,1.0,24.0,1.8,0.4,2.2,.144,4.7,-1.3,3.4,2.3,11.3,6.8,32.3,2.8,0.8,17.0
Samuel Dalembert,C,30,Samuel Dalembert,65,1446,16.9,.551,.003,.286,0.8,16.6,1.8,2.3,4.1,.137,-2.1,2.4,0.3,12.6,24.1,18.3,3.6,1.3,5.7,15.6
Erick Dampier,C,36,Erick Dampier,15,83,5.5,.125,.000,.000,0.0,6.2,-0.1,0.1,0.1,.035,-6.3,3.4,-2.8,14.3,21.0,17.7,6.5,0.6,3.7,27.3
Marquis Daniels,SG,31,Marquis Daniels,38,484,8.1,.395,.070,.161,-0.2,18.0,-0.8,0.9,0.1,.008,-5.4,1.8,-3.6,4.1,11.6,8.0,15.5,2.3,1.4,15.5
Baron Davis,PG,32,Baron Davis,29,595,10.0,.457,.462,.130,-0.2,20.4,-0.7,0.8,0.2,.014,-2.4,-0.9,-3.3,2.5,8.4,5.4,36.2,2.9,0.4,28.1
Ed Davis,PF,22,Ed Davis,66,1534,14.2,.544,.003,.316,1.1,13.8,1.6,2.3,3.9,.121,-1.7,2.6,0.9,10.4,23.0,16.7,6.5,1.4,3.4,14.9
Glen Davis,PF,26,Glen Davis,61,1427,13.2,.466,.026,.313,-0.8,22.4,0.0,1.7,1.7,.057,-3.8,-0.4,-4.2,8.5,18.4,13.4,5.9,1.6,1.0,11.0
Josh Davis,PF,31,Josh Davis,15,130,11.3,.459,.481,.296,0.1,11.7,0.2,0.2,0.3,.124,0.9,0.8,1.7,14.1,10.1,12.1,6.8,2.8,0.6,8.9
Eric Dawson,C,27,Eric Dawson,4,39,14.6,.582,.000,.167,0.0,18.6,0.0,0.1,0.1,.106,-3.3,-2.6,-5.9,15.0,14.4,14.7,0.0,1.3,3.7,18.9
Austin Daye,SF,23,Austin Daye,41,603,7.1,.394,.273,.189,-0.6,21.9,-1.3,0.6,-0.6,-0.050,-5.6,-0.3,-5.9,2.7,15.8,9.0,9.2,2.0,2.8,14.0
Carlos Delfino,SF,29,Carlos Delfino,54,1537,11.7,.515,.528,.106,1.1,15.5,0.8,1.6,2.4,.075,0.1,0.6,0.7,1.4,13.9,7.5,11.9,2.6,0.5,12.2
Luol Deng,SF,26,Luol Deng,54,2129,14.1,.500,.285,.219,2.2,19.8,2.3,3.6,5.8,.132,0.5,1.6,2.1,4.1,14.0,9.2,11.7,1.4,1.2,10.4
Justin Dentmon,PG,26,Justin Dentmon,6,91,4.8,.424,.500,.214,-0.1,19.4,-0.2,0.1,-0.1,-0.049,-4.4,-2.4,-6.8,0.0,10.2,5.1,18.0,1.2,0.0,18.6
Justin Dentmon,PG,26,Justin Dentmon,2,19,1.6,.333,.667,.000,0.0,16.8,-0.1,0.0,0.0,-0.090,-5.2,-1.1,-6.3,0.0,5.9,3.0,7.4,2.7,0.0,14.3
Justin Dentmon,PG,26,Justin Dentmon,4,72,5.7,.446,.455,.273,-0.1,20.1,-0.1,0.0,-0.1,-0.039,-4.1,-2.8,-6.9,0.0,11.3,5.7,20.9,0.7,0.0,19.6
DeMar DeRozan,SG,22,DeMar DeRozan,63,2206,12.8,.503,.102,.367,-0.5,25.0,1.1,1.4,2.5,.054,-1.4,-1.5,-2.8,2.1,9.0,5.6,10.8,1.2,0.6,10.5
Boris Diaw,PF,29,Boris Diaw,57,1424,11.2,.498,.282,.100,0.3,15.5,-0.3,0.8,0.6,.019,-1.5,0.5,-1.1,5.5,17.3,11.3,23.8,1.2,1.3,23.4
